Project name,Country,Trade,Partners,Announced start date,Date online,Decomission date,Repurposed_new,Status,Technology type,Product2,Announced Size,Location
Dunkerque New Molecules development,FRA,Import,Fluxys,2035,2035,,,Concept,Ammonia Cracking,Ammonia,NA,Dunkerque
Port of Immingham,GBR,Import,Air Products and Associated British Ports (ABP) ,NA,NA,,New,Concept,Ammonia Cracking,Ammonia,NA,Immingham Docks
Bakki - Atome: Hydrogen and Ammonia - Phase 1,ISL,Export,"Atome Energy, Green Fuel",2023,2023,,New,Feasibility study,Ammonia storage,Ammonia,31 kt ammonia,Húsavík
Bakki - Atome: Hydrogen and Ammonia - Phase 2,ISL,Export,"Atome Energy, Green Fuel",2025,2025,,New,Feasibility study,Ammonia storage,Ammonia,74 kt ammonia,Húsavík
Hy Touch Kobe,JPN,Import,"Kawasaki Heavy Industries (KHI), Electric Power Development Co. (J-Power), Iwatani Corporation, Shell, Marubeni Corporation, ENEOS Corporation and Kawasaki Kisen Kaisha (“K” LINE)",2021,2021,,New,DEMO,Regasification,LH2,"2250 m3, 150t",Kobe Airport Island
Japan-Australia CO2-free Hydrogen Supply Chain in Queensland,JPN,Import,"ENEOS, Origin",NA,NA,,New,Concept,LOHC Dehydrogenation,LOHC,NA,Queensland
Japan-Australia CO2-free Hydrogen Supply Chain in Queensland,JPN,Import,"ENEOS, Origin",NA,NA,,New,Concept,LOHC Storage,LOHC,NA,Queensland
Hydrogen and ammonia supply chain in Osaka,JPN,Import,"Mitsui & Co, Mitsui Chemicals, IHI Corporation, The Kansai Electric Power",NA,NA,,New,Concept,Ammonia storage,Ammonia,NA,Osaka
Project Nour,MRT,Export,"Government of Mauritania, Chariot",2030,2030,,New,Feasibility study,Ammonia storage,Ammonia,10 GW of electrolysis,Nouadhibou port
Project Aman,MRT,Export,,2028,2028,,New,Feasibility study,Ammonia storage,Ammonia,400 MW,port
Hydrogen-to-MCH Malaysia,MYS,Export,"Petronas Hydrogen, ENEOS Corporation",2027,2027,,New,Feasibility study,LOHC Hydrogenation,LOHC,50 kt H2,Kerteh
Green Hydrogen Export - Sarawak,MYS,Export,"ENEOS, Sumitomo, Sarawak Economic Development Corporation (SEDC) Energy",2023,2023,,New,Feasibility study,LOHC Hydrogenation,LOHC,"10,000 kt/a (not at the beginning)","Bintulu, Sarawak"
Samalaju Hydrogen Production,MYS,Export,"H2X, Thales New Energy, Sarawak Economic Development Corporation (SEDC) Energy",2025,2025,,New,Feasibility study,Ammonia storage,Ammonia,970 kt/a ammonia,Samalaju Industrial Port Sdn Bhd
Tsau //Khaeb National Park Southern Corridor Development Initiative (SCDI) Hydrogen Project - Phase 1,NAM,Export,"Hyphen, Namibian government",2026,2026,,New,Feasibility study,Ammonia storage,Ammonia,1 Mtpa ammonia,Tsau //Khaeb National Park
Tsau //Khaeb National Park Southern Corridor Development Initiative (SCDI) Hydrogen Project - Phase 2,NAM,Export,"Hyphen, Namibian government",2030,2030,,New,Concept,Ammonia storage,Ammonia,2 Mta,South of Namibia
ACE Terminal,NLD,Import,"Gasunie, HES International, Vopak",2026,2026,,New,Concept,Ammonia Cracking,Ammonia,NA,Maasvlakte 
ACE Terminal,NLD,Import,"Gasunie, HES International, Vopak",2026,2026,,New,Concept,Ammonia storage,Ammonia,NA,Maasvlakte 
"""Greenpoint Valley"" North-West Europe",NLD,Import,"Vesta, Uniper",2026,2026,,New,Concept,Ammonia storage,Ammonia,0.96 Mtpa,Vlissingen
H2Sines.RDAM,NLD,Import,"Engie, Shell, Vopak, Anthony Vede, REN, Port of Sines, Port of Rotterdam, Gaunie, ABN AMRO",2028,2028,,New,Feasibility study,Regasification,LH2,"100 tpd LH2, with upscaling to 300 tpd",Rotterdam
Global Energy Storage (GES),NLD,Import,Global Energy Storage ,NA,NA,,New,Concept,Ammonia storage,Ammonia,,Maasvlakte 
OCI Import terminal - Expansion,NLD,Import,OCI,2023,2023,,New,FID,Ammonia storage,Ammonia,1.2 Mt ammonia (triples from present),Maasvlakte 
OCI Import terminal - Expansion,NLD,Import,OCI,NA,NA,,New,FEED,Ammonia storage,Ammonia,1.8 Mt ammonia,Maasvlakte 
Skipavika,NOR,Export,Fuella,2026,2026,,New,Feasibility study,Ammonia storage,Ammonia,100 ktpa ammonia,Gulen
Narvik,NOR,Export,"Aker Horizons, Nordkraft, Narvik municipality, UiT The Arctic University of Norway",2028,2028,,New,Feasibility study,Ammonia storage,Ammonia,200 ktpa ammonia,Narvik
Hyport Duqm,OMN,Export,"Deme Concessions, OQ, Uniper",2026,2026,,New,Concept,Ammonia storage,Ammonia,500 MW electrolyser (part will be ammonia),Duqm
SalalaH2,OMN,Export,"OQ, Marubeni, Linde, Dutco",NA,NA,,New,Concept,Ammonia storage,Ammonia,1000 t ammonia/day,Duqm
Green Energy Oman (GEO) integrated green fuels mega project,OMN,Export,"OQ, InterContinental Energy, EnerTech",2028,2028,,New,Feasibility study,Ammonia storage,Ammonia,"Up to 25 GW wind and solar by 2038, and 10 Mt ammonia production",Duqm
H2Oman,OMN,Export,"Air Products, OW, ACWA Power",NA,NA,,New,Concept,Ammonia storage,Ammonia,Similar in scale to NEOM project,Duqm
MadoquaPower2X,PRT,Export,"Madoqua, Power2X, CIP",2030,2030,,New,Concept,Ammonia storage,Ammonia,"500 kt ammonia, potential 1 Mt ammonia",Sines
H2Sines.RDAM,PRT,Export,"Engie, Shell, Vopak, Anthony Vede, REN, Port of Sines, Port of Rotterdam, Gaunie, ABN AMRO",2028,2028,,New,Feasibility study,Liquefaction,LH2,"100 tpd LH2, with upscaling to 300 tpd",Sines
Villeta - Atome: Hydrogen and Ammonia - Phase 1,PRY,Export,Atome Energy,2024,2024,,New,Feasibility study,Ammonia storage,Ammonia,45.64 kt ammonia,Villeta
Villeta - Atome: Hydrogen and Ammonia - Phase 2,PRY,Export,Atome Energy,2026,2026,,New,Feasibility study,Ammonia storage,Ammonia,182.5 kt ammonia,Villeta
Helios Green Fuels,SAU,Export,"Neom Green Hydrogen Company, Acwa Power, Air Products",2026,2026,,New,FID,Ammonia storage,Ammonia,1.2 Mt ammonia,Neom
Hydrogen City - South Texas,USA,Export,"RWE, LOTTE CHEMICAL Corporation, Mitsubishi Corporation",2030,2030,,New,Concept,Ammonia storage,Ammonia,10 Mt ammonia,Corpus Christi
Boegoebaai Port,ZAF,Export,"Port of Rotterdam, Koninklijke Vopak NV",2030,2030,,New,Concept,Ammonia storage,Ammonia,NA,Port Nolloth
Coega green ammonia plant,ZAF,Export,"Hive Hydrogen, Linde",2026,2026,,New,Feasibility study,Ammonia storage,Ammonia,"780 kt/year
Storage size NA",Port of Ngqura
